State,median_household_income,poverty_rate,pct_bachelors_or_higher,pct_uninsured,unemployment_rate,Year
Ohio,67769.0,13.3,32.0,6.1,4.0,2023
Oklahoma,62138.0,15.9,28.7,11.4,4.6,2023
Oregon,80160.0,12.2,37.7,5.5,4.1,2023
Pennsylvania,73824.0,12.0,35.3,5.4,4.2,2023
Rhode Island,84972.0,10.8,39.0,4.5,4.8,2023
South Carolina,67804.0,13.9,32.9,9.1,4.3,2023
South Dakota,71810.0,11.8,33.3,8.3,2.6,2023
Tennessee,67631.0,14.0,31.7,9.3,4.0,2023
Texas,75780.0,13.7,34.2,16.4,4.4,2023
Utah,93421.0,9.0,38.4,8.0,3.3,2023
Vermont,81211.0,9.7,43.7,3.4,2.6,2023
Virginia,89931.0,10.2,42.4,6.4,3.7,2023
Washington,94605.0,10.3,40.5,6.3,4.5,2023
West Virginia,55948.0,16.7,24.0,5.9,4.5,2023
Wisconsin,74631.0,10.7,33.8,4.9,2.8,2023
Wyoming,72415.0,11.3,30.4,10.7,3.2,2023
Puerto Rico,25621.0,39.6,30.8,5.3,9.2,2023
Alabama,66659.0,15.2,29.9,8.2,4.2,2024
Alaska,95665.0,10.2,32.8,11.0,6.0,2024
Arizona,81486.0,11.7,34.7,10.3,4.6,2024
Arkansas,62106.0,15.5,27.1,9.4,3.8,2024
California,100149.0,11.8,38.1,5.9,5.9,2024
Colorado,97113.0,9.6,47.8,7.9,4.3,2024
Connecticut,96049.0,10.2,42.6,5.8,4.9,2024
Delaware,87534.0,9.6,36.0,6.9,5.1,2024
District of Columbia,109707.0,17.3,65.5,4.5,5.6,2024
Florida,77735.0,12.0,35.8,10.9,4.6,2024
Georgia,79991.0,12.6,36.3,12.0,4.7,2024
Hawaii,100745.0,10.0,37.8,3.5,3.4,2024
Idaho,81166.0,10.5,33.0,9.2,3.7,2024
Illinois,83211.0,11.6,39.2,6.9,5.1,2024
Indiana,71959.0,12.2,30.7,7.5,4.1,2024
Iowa,75501.0,11.3,32.1,5.4,3.2,2024
Kansas,75514.0,10.9,36.0,8.5,3.7,2024
Kentucky,64526.0,15.6,27.9,6.8,4.9,2024
Louisiana,60986.0,18.7,27.8,7.7,5.2,2024
Maine,76442.0,10.6,37.1,5.5,2.7,2024
Maryland,102905.0,9.1,44.7,6.3,4.3,2024
Massachusetts,104828.0,9.7,48.3,2.8,4.1,2024
Michigan,72389.0,13.4,33.3,5.1,4.5,2024
Minnesota,87117.0,9.3,40.0,5.1,3.7,2024
Mississippi,59127.0,17.8,27.0,9.7,4.6,2024
Missouri,71589.0,12.3,33.5,7.7,3.3,2024
Montana,75340.0,10.2,36.3,8.8,3.0,2024
Nebraska,76376.0,10.9,35.4,7.1,3.4,2024
Nevada,81134.0,11.6,28.5,11.4,6.3,2024
New Hampshire,99782.0,7.2,41.5,4.5,2.8,2024
New Jersey,104294.0,9.2,44.5,7.7,5.4,2024
